time/fps,time/process,time/physics_process,memory/static,memory/static_max,memory/msg_buf_max,object/objects,object/resources,object/nodes,object/orphan_nodes,raster/total_objects_drawn,raster/total_primitives_drawn,raster/total_draw_calls,video/video_mem,video/texture_mem,video/buffer_mem,physics_2d/active_objects,physics_2d/collision_pairs,physics_2d/islands,physics_3d/active_objects,physics_3d/collision_pairs,physics_3d/islands,audio/driver/output_latency
1.0,0.0,0.0,61024944.0,93620680.0,2496.0,1585.0,246.0,18.0,1.0,0.0,0.0,0.0,127870864.0,66548736.0,1811836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
37.0,0.011317,0.000154,61023008.0,93620680.0,2496.0,1588.0,246.0,18.0,1.0,0.0,0.0,0.0,126315216.0,64444416.0,1836220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
179.0,0.01673,0.001045,61141840.0,93620680.0,2496.0,1606.0,246.0,25.0,1.0,0.0,0.0,0.0,126421904.0,64575488.0,1811836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
179.0,0.010701,0.00015,61141952.0,93620680.0,2496.0,1606.0,246.0,25.0,1.0,0.0,0.0,0.0,126417392.0,64575488.0,1807324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
179.0,0.011455,0.00119,66621872.0,93620680.0,6696.0,2032.0,246.0,326.0,5.0,0.0,0.0,0.0,126400016.0,64575488.0,1780588.0,15.0,274.0,169.0,0.0,0.0,0.0,0.01
155.0,0.015887,0.017498,66637984.0,93620680.0,6696.0,2032.0,246.0,326.0,5.0,0.0,0.0,0.0,126400016.0,64575488.0,1780588.0,15.0,279.0,174.0,0.0,0.0,0.0,0.01
156.0,0.012348,0.002103,66643640.0,93620680.0,6696.0,2032.0,246.0,326.0,5.0,0.0,0.0,0.0,126400016.0,64575488.0,1780588.0,15.0,279.0,174.0,0.0,0.0,0.0,0.01
134.0,0.012442,0.002452,66685112.0,93620680.0,6696.0,2032.0,246.0,326.0,5.0,0.0,0.0,0.0,126400016.0,64575488.0,1780588.0,15.0,287.0,182.0,0.0,0.0,0.0,0.01
135.0,0.015224,0.002119,66753032.0,93620680.0,6696.0,2034.0,246.0,326.0,5.0,0.0,0.0,0.0,126400016.0,64575488.0,1780588.0,15.0,295.0,190.0,0.0,0.0,0.0,0.01
133.0,0.016049,0.00228,66767320.0,93620680.0,6696.0,2034.0,246.0,326.0,5.0,0.0,0.0,0.0,126400016.0,64575488.0,1780588.0,15.0,278.0,173.0,0.0,0.0,0.0,0.01
